Law Firm Name,State Served,Website,Specialities,Consultation Email,Contact Form Link,General Phone,Phone 1,Address 1,Phone 2,Address 2,Phone 3,Address 3,Phone 4,Address 4,Phone 5,Address 5,Phone 6,Address 6,Phone 7,Address 7,Phone 8,Address 8,Phone 9,Address 9,Phone 10 ,Address 10,Phone 11,Address 11,Phone 12,Address 12 ,Phone 13 ,Address 13 
Law Offices of Alicia M. Heflin,Arizona ,https://www.heflinlawplc.com/,"Deferred action, family based immigration in Phoenix, Citizenship/Naturalization, Employment-Based Immigration, Nonimmigrant visas, asylum",,https://habichlaw.com/contact-us/,888-4037141,,"3411 N. 5th Ave.
Suite 311
Phoenix, AZ ",,,,,,,,,,,,,,,,,,,,,,,,
Coughlon Law Firm,Arizona,https://www.coughlonlaw.com/,"Immigration, Asylum, Deferred Action for childhood arrivals, deportation defense, E2-visas, Family Immigration, green card through marriage, naturalization",,https://www.coughlonlaw.com/contact/,,,"531 E. Thomas Rd., Suite 101
Phoenix, AZ ",,,,,,,,,,,,,,,,,,,,,,,,
sanchez law firm,Arizona,https://topratedimmigration.com/,"Family Petitions, Fiancee Visas, Adjustment of Status, Green Cards, Work Permit Renewals, Deportation Defense, Victim's Visas, DACA Renewals, Bonds, Stateside Waivers,",,https://topratedimmigration.com/about-us, 480- 275-2407,,"110 S Mesa Dr, Mesa, AZ 85210",,,,,,,,,,,,,,,,,,,,,,,,
Alcock Law ,Arizona,https://www.alcocklaw.com/,"adjustment, appeals, asylum, bond hearings, cancellation of removal, citizenship, DACA, green card, I-601A waivers, U-visas",,https://www.alcocklaw.com/contact/  ,602-989-5000,,"2 North Central Avenue, 26th Floor
Phoenix AZ 85004",,,,,,,,,,,,,,,,,,,,,,,,
"Habich Law, PLC",Arizona,https://habichlaw.com/,"Deferred action, family based immigration in Phoenix, Citizenship/Naturalization, Employment-Based Immigration, Nonimmigrant visas, asylum",roya@habichlaw.com,https://habichlaw.com/contact-us/, 602- 795-8383,,"2200 N. Central Avenue, Suite 104
Phoenix, AZ 85004",,,,,,,,,,,,,,,,,,,,,,,,
"DiSanto & DiSanto, PLC",Arizona,http://disantoimmigrationlaw.com/index.html,"visas, family-base immigration services",,http://disantoimmigrationlaw.com/contactus.html,480-551-7020,,"6945 East Sahuaro Drive
Suite # 125
Scottsdale, Arizona 85254",,,,,,,,,,,,,,,,,,,,,,,,
Global Hearts United Immigration,Arizona,https://globalheartsunited.com/,"fiancee visas, marriage-based immigration, LGBT visas, immigration law, family law, citizenship & naturalization, Filipino immigration lawyer Scottsdale",azcarlos@hotmail.com,https://globalheartsunited.com/contact-us/,480 613-4566,,"3014 N Hayden Road Suite 112 Scottsdale, AZ 85251",,,,,,,,,,,,,,,,,,,,,,,,
Matthew H Green Law Office ,Arizona,https://www.arizonaimmigration.net/matt-green,"deportation defense, residency, visas, citizenship, re-entry visas",,https://www.arizonaimmigration.net/questionnaire,520 882-8852,,"130 West Cushing Street
Tucson, AZ 85701",,,,,,,,,,,,,,,,,,,,,,,,
The Law Office of Darshak,Arizona,https://usvisasforyou.com/index.htm,"Consulate Processing / Visa Stamping | E Visas | H1B Visas | F1 Visas | R1 Visas |
L1 Visas | J Visas | O-1 Visas | P Visas | TN Professionals | K3 Visas | K4 Visas |
Green Cards For Family & Relatives | US Citizenship / Naturalization",info@usvisasforyou.com,https://usvisasforyou.com/contact-us-immigration-lawyer-arizona.htm,602-266-1119,,"3707 N. 7th Street, Ste. 250
Phoenix, AZ 85014",,,,,,,,,,,,,,,,,,,,,,,,
"Alice Vacek Aranda, PLLC ",Arizona,https://www.arandalaw.org/about/,"business-based immigration, family-based immigration, asylum as a defense to deportation or removal, naturalization, and citizenship.",,https://www.arandalaw.org/contact/,,602-275-3238,"4600 East Washington Street
Suite 300
Phoenix AZ 85034-4900", 602-284-3954  appt only-,"2370 West State Road 89A
Suite 102
Sedona AZ 86336",,,,,,,,,,,,,,,,,,,,,,
Maria Jones Law Firm,Arizona,https://mariajoneslawfirm.com/firm-overview/,"adjustment of status, employment immigration, motion to reopen, bond hearings in AZ detention centers, tourist visas B-1,B-2-, citizenship N-600-, consular process, removal defense in immigration courts, fiancee visas, immigration appeals, all immigration waivers, naturalization N-400-, spousal visas  K-3, K-4-",,https://mariajoneslawfirm.com/contact-us/,602-603-4032,,"202 E. Earll Dr., Suite 370
Phoenix, AZ 85012",,,,,,,,,,,,,,,,,,,,,,,,
